annotated,correction,broad,order
baldeagle,bald_eagle,raptor,accipitriformes
beardedvulture,bearded_vulture,raptor,accipitriformes
blackvulture,black_vulture,raptor,accipitriformes
buteobuteo,common_buzzard,raptor,accipitriformes
buzzard,buzzard,raptor,accipitriformes
commonbussard,common_buzzard,passerine,accipitriformes
commonbuzzard,common_buzzard,passerine,accipitriformes
coopershawk,Coopers_hawk,raptor,accipitriformes
crested_eagle,crested_eagle,raptor,accipitriformes
crestedeagle,crested_eagle,raptor,accipitriformes
crestedgoshawk,crested_goshawk,raptor,accipitriformes
eagle,eagle,raptor,accipitriformes
easternbuzzard,eastern_buzzard,raptor,accipitriformes
eurasiansparrowhawk,Eurasian_sparrowhawk,raptor,accipitriformes
goldeneagle,golden_eagle,raptor,accipitriformes
goshawk,Northern_goshawk,raptor,accipitriformes
gypaetusbarbatus,bearded_vulture,raptor,accipitriformes
hawk,hawk,raptor,accipitriformes
hoodedvulture,hooded_vulture,raptor,accipitriformes
mountain_hawk_eagle,mountain_hawk-eagle,raptor,accipitriformes
mountainhawk-eagle,mountain_hawk-eagle,raptor,accipitriformes
northerngoshawk,northern_goshawk,raptor,accipitriformes
redtailedhawk,red-tailed_hawk,raptor,accipitriformes
redshoulderedhawk,red-shouldered_hawk,raptor,accipitriformes
redbackedhawk,red-backed_hawk,raptor,accipitriformes
seaeagle,sea_eagle,raptor,accipitriformes
vulture,vulture,raptor,accipitriformes
whitetailedeagle,white-tailed_eagle,raptor,accipitriformes
withetiledeagle,white-tailed_eagle,raptor,accipitriformes
animal,animal,animal,animal
steller's_eider,stellars_eider,duck,anseriformes
anseriformes_sp.,avian,avian,anseriformes
ruddy_shelduck,ruddy_shelduck,duck,anseriformes
white_peckin_duck,pekin_duck,duck,anseriformes
dendrocygna_viduata,white-faced_whistling_duck,duck,anseriformes
anas_querquedula,gargeny,duck,anseriformes
anas_crecca,green-winged_teal,duck,anseriformes
anas_platyrhynchos_var._domesticus,domestic_mallard,duck,anseriformes
mallard(anas_platyrhynchos),mallard,duck,anseriformes
anas_platyrhynchos,mallard,duck,anseriformes
americanblackduck,American_black_duck,duck,anseriformes
anas_acuta,Northern_pintail,duck,anseriformes
anas_carolinensis,green-winged_teal,duck,anseriformes
americangreen_wingedteal,green-winged_teal,duck,anseriformes
anas_americana,American_wigeon,duck,anseriformes
anasplatyrhynchos,mallard,duck,anseriformes
anasplatyrhynchosdomesticus,domestic_duck,duck,anseriformes
anasplatyrhynchosdomestica,domestic_duck,duck,anseriformes
aythyafuligula,tufted_duck,duck,anseriformes
baikalteal,baikal_teal,duck,anseriformes
black_duck,American_black_duck,duck,anseriformes
blackduck,American_black_duck,duck,anseriformes
blacknestedgrebe,black-necked_grebe,duck,anseriformes
breederduck,breeder_duck,duck,anseriformes
broilerduck,broiler_duck,duck,anseriformes
cascadeduck,cascade_duck,duck,anseriformes
common_goldeneye,common_goldeneye,duck,anseriformes
commongoldeneye,common_goldeneye,duck,anseriformes
common_pochard,common_pochard,duck,anseriformes
commonpochard,common_pochard,duck,anseriformes
commonteal,Eurasian_teal,duck,anseriformes
dack,duck,duck,anseriformes
domestic_duck,duck,duck,anseriformes
domesticduck,duck,duck,anseriformes
domestic_green_winged_teal,green-winged_teal,duck,anseriformes
domesticgreen-wingedteal,green-winged_teal,duck,anseriformes
domesticgreen_wingedteal,green-winged_teal,duck,anseriformes
domesticmallardduck,mallard,duck,anseriformes
domesticmallard,mallard,duck,anseriformes
duck,duck,duck,anseriformes
duckbroiler,duck,duck,anseriformes
duck_broiler,duck,duck,anseriformes
gadwall_duck,gadwall,duck,anseriformes
gadwallduck,gadwall,duck,anseriformes
goldeneyeduck,Goldeneye,duck,anseriformes
goosander,goosander,duck,anseriformes
greaterscaup,greater_scaup,duck,anseriformes
europeanteal,Eurasian_teal,duck,anseriformes
eurasianteal,Eurasian_teal,duck,anseriformes
falcatedduck,falcated_duck,duck,anseriformes
indianrunnerduck,indian_runner_duck,duck,anseriformes
indian_runner_duck,indian_runner_duck,duck,anseriformes
mallard,mallard,duck,anseriformes
mallard_duck,mallard,duck,anseriformes
mallardduck,mallard,duck,anseriformes
mandarinduck,Mandarin_duck,duck,anseriformes
mandarin_duck,Mandarin_duck,duck,anseriformes
mergusalbellus,smew,duck,anseriformes
migratoryduck,duck,duck,anseriformes
cairina_moschata,Muscovy_duck,duck,anseriformes
muscovy,Muscovy_duck,duck,anseriformes
muscovyduck,Muscovy_duck,duck,anseriformes
muscovy_duck,Muscovy_duck,duck,anseriformes
northernpintail,Northern_pintail,duck,anseriformes
pekingduck,Peking_duck,duck,anseriformes
pekinduck,American_Pekin_duck,duck,anseriformes
American_Pekin_duck,American_Pekin_duck,duck,anseriformes
pintail,Northern_pintail,duck,anseriformes
pochard,common_pochard,duck,anseriformes
rbpochard,red-chested_pochard,duck,anseriformes
ringneckedduck,ring-necked_duck,duck,anseriformes
rubbyshelduck,Ruddy_shelduck,duck,anseriformes
ruddy_shelduck,Ruddy_shelduck,duck,anseriformes
ruddyshelduck,Ruddy_shelduck,duck,anseriformes
teal,teal_duck,duck,anseriformes
tufted_duck,Tufted_duck,duck,anseriformes
tuftedduck,Tufted_duck,duck,anseriformes
wild_duck,duck,duck,anseriformes
wildduck,duck,duck,anseriformes
wood_duck,Wood_duck,duck,anseriformes
woodduck,Wood_duck,duck,anseriformes
yellow_billed_duck,yellow-billed_duck,duck,anseriformes
yellowbilledduck,yellow-billed_duck,duck,anseriformes
greyduck,pacific_black_duck,duck,anseriformes
common_shelduck,common_shelduck,duck,anseriformes
anser_fabalis,bean_goose,goose,anseriformes
bar-headed_goose_(anser_indicus),bar-headed_goose,goose,anseriformes
africangoose,african_goose,goose,anseriformes
african_goose,african_goose,goose,anseriformes
americanbuffgoose,american_buff_goose,goose,anseriformes
ansercygnoides,swan_goose,goose,anseriformes
anseralbifrons,greater_white-fronted_goose,goose,anseriformes
anseranser,greylag_goose,goose,anseriformes
anseranserdomesticus,domestic_goose,goose,anseriformes
anserbrachyrhynchus,pink-footed_goose,goose,anseriformes
goose,goose,goose,anseriformes
geese,goose,goose,anseriformes
bar_headed_goose,bar-headed_goose,goose,anseriformes
bar_headedgoose,bar-headed_goose,goose,anseriformes
bar-headedgoose,bar-headed_goose,goose,anseriformes
barheadedgoose,bar-headed_goose,goose,anseriformes
barnaclegoose,barnacle_goose,goose,anseriformes
bean_goose,bean_goose,goose,anseriformes
beangoose,bean_goose,goose,anseriformes
black-headedgoose,black-headed_goose,goose,anseriformes
brentgoose,brent_goose,goose,anseriformes
brantaleucopsis,barnacle_goose,goose,anseriformes
brantacanadensis,canada_goose,goose,anseriformes
cacklinggoose,cackling_goose,goose,anseriformes
canada_goose,canada_goose,goose,anseriformes
